	P-Surprise	P-Sadness	P-None	P-Fear	P-Disgust	P-Anger	R-Surprise	R-Sadness	R-None	R-Fear	R-Disgust	R-Anger	F1-Surprise	F1-Sadness	F1-None	F1-Fear	F1-Disgust	F1-Anger
1	61.7647058823529	73.6842105263158	43.1372549019608	88.8888888888889	77.1428571428572	93.3333333333334	87.5	96.551724137931	88	35.2941176470588	77.1428571428572	48.2758620689655	72.4137931034483	83.5820895522388	57.8947368421053	50.5263157894737	77.1428571428572	63.6363636363636
2	64.7058823529412	73.6842105263158	43.1372549019608	96.2962962962963	72.8571428571429	93.3333333333333	86.2745098039216	100	91.6666666666667	32.0987654320988	79.6875	66.6666666666667	73.9495798319328	84.8484848484849	58.6666666666667	48.1481481481481	76.1194029850746	77.7777777777778
	P-Surprise	P-Sadness	P-None	P-Fear	P-Disgust	P-Anger	R-Surprise	R-Sadness	R-None	R-Fear	R-Disgust	R-Anger	F1-Surprise	F1-Sadness	F1-None	F1-Fear	F1-Disgust	F1-Anger
1	60.2941176470588	73.6842105263158	43.1372549019608	100	71.4285714285714	93.3333333333334	85.4166666666667	100	95.6521739130435	30	79.3650793650794	82.3529411764706	70.6896551724138	84.8484848484849	59.4594594594594	46.1538461538462	75.1879699248121	87.5
	P-Surprise	P-Sadness	P-None	P-Fear	P-Disgust	P-Anger	R-Surprise	R-Sadness	R-None	R-Fear	R-Disgust	R-Anger	F1-Surprise	F1-Sadness	F1-None	F1-Fear	F1-Disgust	F1-Anger
1	60.2941176470588	73.6842105263158	43.1372549019608	96.2962962962963	72.8571428571428	86.6666666666667	91.1111111111111	100	95.6521739130435	29.2134831460674	75	81.25	72.5663716814159	84.8484848484849	59.4594594594594	44.8275862068966	73.9130434782609	83.8709677419355
	P-Surprise	P-Sadness	P-None	P-Fear	P-Disgust	P-Anger	R-Surprise	R-Sadness	R-None	R-Fear	R-Disgust	R-Anger	F1-Surprise	F1-Sadness	F1-None	F1-Fear	F1-Disgust	F1-Anger
100 - 1	66.1764705882353	73.6842105263158	43.1372549019608	96.2962962962963	75.7142857142857	93.3333333333333	81.8181818181818	100	95.6521739130435	32.9113924050633	80.3030303030303	77.7777777777778	73.1707317073171	84.8484848484849	59.4594594594594	49.0566037735849	77.9411764705882	84.8484848484848
	P-Surprise	P-Sadness	P-None	P-Fear	P-Disgust	P-Anger	R-Surprise	R-Sadness	R-None	R-Fear	R-Disgust	R-Anger	F1-Surprise	F1-Sadness	F1-None	F1-Fear	F1-Disgust	F1-Anger
1	67.6470588235294	73.6842105263158	43.1372549019608	96.2962962962963	72.8571428571428	86.6666666666667	86.7924528301887	100	91.6666666666667	31.7073170731707	77.2727272727273	81.25	76.0330578512397	84.8484848484849	58.6666666666667	47.7064220183486	75	83.8709677419355
	P-Surprise	P-Sadness	P-None	P-Fear	P-Disgust	P-Anger	R-Surprise	R-Sadness	R-None	R-Fear	R-Disgust	R-Anger	F1-Surprise	F1-Sadness	F1-None	F1-Fear	F1-Disgust	F1-Anger
1	66.1764705882353	73.6842105263158	43.1372549019608	96.2962962962963	71.4285714285714	93.3333333333334	86.5384615384615	96.551724137931	95.6521739130435	30.2325581395349	80.6451612903226	82.3529411764706	75	83.5820895522388	59.4594594594594	46.0176991150442	75.7575757575758	87.5
