	P-Surprise	P-Sadness	P-None	P-Fear	P-Disgust	P-Anger	R-Surprise	R-Sadness	R-None	R-Fear	R-Disgust	R-Anger	F1-Surprise	F1-Sadness	F1-None	F1-Fear	F1-Disgust	F1-Anger
1	60.2941176470588	73.6842105263158	43.1372549019608	96.2962962962963	72.8571428571428	93.3333333333333	87.2340425531915	90.3225806451613	95.6521739130435	30.952380952381	77.2727272727273	77.7777777777778	71.304347826087	81.1594202898551	59.4594594594594	46.8468468468469	75	84.8484848484848
2	60.2941176470588	73.6842105263158	43.1372549019608	100	70	93.3333333333333	85.4166666666667	84.8484848484848	91.6666666666667	32.5301204819277	77.7777777777778	77.7777777777778	70.6896551724138	78.8732394366197	58.6666666666667	49.0909090909091	73.6842105263158	84.8484848484848
3	67.6470588235294	71.0526315789474	43.1372549019608	100	71.4285714285714	93.3333333333334	85.1851851851852	100	95.6521739130435	32.1428571428571	78.125	82.3529411764706	75.4098360655738	83.0769230769231	59.4594594594594	48.6486486486487	74.6268656716418	87.5
4	60.2941176470588	73.6842105263158	43.1372549019608	100	70	93.3333333333334	89.1304347826087	100	95.6521739130435	29.6703296703297	76.5625	82.3529411764706	71.9298245614035	84.8484848484849	59.4594594594594	45.7627118644068	73.134328358209	87.5
5	60.2941176470588	71.0526315789474	43.1372549019608	100	71.4285714285714	93.3333333333334	85.4166666666667	100	95.6521739130435	31.0344827586207	74.6268656716418	82.3529411764706	70.6896551724138	83.0769230769231	59.4594594594594	47.3684210526316	72.992700729927	87.5
6	66.1764705882353	73.6842105263158	43.1372549019608	100	77.1428571428571	93.3333333333333	88.2352941176471	87.5	91.6666666666667	39.1304347826087	72.972972972973	73.6842105263158	75.6302521008403	80	58.6666666666667	56.25	75	82.3529411764706
7	60.2941176470588	73.6842105263158	43.1372549019608	100	72.8571428571428	93.3333333333334	93.1818181818182	90.3225806451613	91.6666666666667	31.7647058823529	75	82.3529411764706	73.2142857142857	81.1594202898551	58.6666666666667	48.2142857142857	73.9130434782609	87.5
8	60.2941176470588	71.0526315789474	43.1372549019608	100	72.8571428571429	93.3333333333333	85.4166666666667	87.0967741935484	95.6521739130435	32.9268292682927	76.1194029850746	77.7777777777778	70.6896551724138	78.2608695652174	59.4594594594594	49.5412844036697	74.4525547445255	84.8484848484848
9	63.2352941176471	73.6842105263158	43.1372549019608	100	70	93.3333333333334	87.7551020408163	96.551724137931	95.6521739130435	31.0344827586207	76.5625	82.3529411764706	73.5042735042735	83.5820895522388	59.4594594594594	47.3684210526316	73.134328358209	87.5
10	61.7647058823529	73.6842105263158	43.1372549019608	100	71.4285714285714	100	87.5	87.5	95.6521739130435	32.9268292682927	76.9230769230769	78.9473684210526	72.4137931034483	80	59.4594594594594	49.5412844036697	74.0740740740741	88.2352941176471
