	P-Surprise	P-Sadness	P-None	P-Fear	P-Disgust	P-Anger	R-Surprise	R-Sadness	R-None	R-Fear	R-Disgust	R-Anger	F1-Surprise	F1-Sadness	F1-None	F1-Fear	F1-Disgust	F1-Anger
1	64.7058823529412	73.6842105263158	43.1372549019608	96.2962962962963	70	93.3333333333333	84.6153846153846	100	91.6666666666667	30.952380952381	77.7777777777778	77.7777777777778	73.3333333333333	84.8484848484849	58.6666666666667	46.8468468468469	73.6842105263158	84.8484848484848
2	69.1176470588235	73.6842105263158	43.1372549019608	100	68.5714285714286	93.3333333333333	90.3846153846154	100	91.6666666666667	31.7647058823529	78.6885245901639	73.6842105263158	78.3333333333333	84.8484848484849	58.6666666666667	48.2142857142857	73.2824427480916	82.3529411764706
3	69.1176470588235	73.6842105263158	43.1372549019608	100	68.5714285714286	93.3333333333334	87.037037037037	96.551724137931	91.6666666666667	32.5301204819277	77.4193548387097	82.3529411764706	77.0491803278688	83.5820895522388	58.6666666666667	49.0909090909091	72.7272727272727	87.5
4	70.5882352941176	71.0526315789474	43.1372549019608	100	68.5714285714286	93.3333333333333	85.7142857142857	100	91.6666666666667	32.9268292682927	77.4193548387097	77.7777777777778	77.4193548387097	83.0769230769231	58.6666666666667	49.5412844036697	72.7272727272727	84.8484848484848
5	70.5882352941177	73.6842105263158	45.0980392156863	100	70	93.3333333333334	84.2105263157895	96.551724137931	88.4615384615385	35.0649350649351	77.7777777777778	82.3529411764706	76.8	83.5820895522388	59.7402597402597	51.9230769230769	73.6842105263158	87.5
6	70.5882352941176	73.6842105263158	43.1372549019608	96.2962962962963	70	93.3333333333333	88.8888888888889	100	88	34.2105263157895	74.2424242424242	70	78.6885245901639	84.8484848484849	57.8947368421053	50.4854368932039	72.0588235294118	80
7	70.5882352941176	73.6842105263158	43.1372549019608	96.2962962962963	71.4285714285714	93.3333333333334	88.8888888888889	96.551724137931	91.6666666666667	32.9113924050633	75.7575757575758	82.3529411764706	78.6885245901639	83.5820895522388	58.6666666666667	49.0566037735849	73.5294117647059	87.5
8	69.1176470588235	73.6842105263158	43.1372549019608	96.2962962962963	70	93.3333333333334	88.6792452830189	96.551724137931	91.6666666666667	32.5	74.2424242424242	82.3529411764706	77.6859504132231	83.5820895522388	58.6666666666667	48.5981308411215	72.0588235294118	87.5
9	66.1764705882353	73.6842105263158	45.0980392156863	100	70	93.3333333333334	91.8367346938776	96.551724137931	85.1851851851852	32.9268292682927	75.3846153846154	82.3529411764706	76.9230769230769	83.5820895522388	58.974358974359	49.5412844036697	72.5925925925926	87.5
10	70.5882352941177	73.6842105263158	43.1372549019608	100	68.5714285714286	93.3333333333334	82.7586206896552	100	95.6521739130435	32.9268292682927	78.6885245901639	82.3529411764706	76.1904761904762	84.8484848484849	59.4594594594594	49.5412844036697	73.2824427480916	87.5
