	P-Surprise	P-Sadness	P-None	P-Fear	P-Disgust	P-Anger	R-Surprise	R-Sadness	R-None	R-Fear	R-Disgust	R-Anger	F1-Surprise	F1-Sadness	F1-None	F1-Fear	F1-Disgust	F1-Anger
1	73.5294117647059	73.6842105263158	45.0980392156863	100	60	93.3333333333334	83.3333333333333	87.5	88.4615384615385	37.5	79.2452830188679	53.8461538461538	78.125	80	59.7402597402597	54.5454545454545	68.2926829268293	68.2926829268293
2	69.1176470588235	73.6842105263158	43.1372549019608	96.2962962962963	61.4285714285714	93.3333333333333	87.037037037037	96.551724137931	78.5714285714286	35.6164383561644	84.3137254901961	41.1764705882353	77.0491803278688	83.5820895522388	55.6962025316456	52	71.0743801652893	57.1428571428571
3	69.1176470588235	73.6842105263158	52.9411764705882	96.2962962962963	74.2857142857143	93.3333333333334	83.9285714285714	100	81.8181818181818	37.1428571428571	80	82.3529411764706	75.8064516129032	84.8484848484849	64.2857142857143	53.6082474226804	77.037037037037	87.5
4	72.0588235294118	73.6842105263158	49.0196078431373	100	71.4285714285714	93.3333333333334	87.5	100	78.125	41.5384615384615	80.6451612903226	53.8461538461538	79.0322580645161	84.8484848484849	60.2409638554217	58.695652173913	75.7575757575758	68.2926829268293
5	64.7058823529412	73.6842105263158	43.1372549019608	92.5925925925926	65.7142857142857	93.3333333333333	84.6153846153846	93.3333333333333	84.6153846153846	42.3728813559322	76.6666666666667	33.3333333333333	73.3333333333333	82.3529411764706	57.1428571428572	58.1395348837209	70.7692307692308	49.1228070175438
6	76.4705882352941	73.6842105263158	52.9411764705882	100	62.8571428571429	93.3333333333334	81.25	96.551724137931	87.0967741935484	42.1875	83.0188679245283	50	78.7878787878788	83.5820895522388	65.8536585365854	59.3406593406593	71.5447154471545	65.1162790697674
7	76.4705882352941	73.6842105263158	50.9803921568628	100	58.5714285714286	86.6666666666667	83.8709677419355	93.3333333333333	83.8709677419355	41.5384615384615	78.8461538461538	44.8275862068966	80	82.3529411764706	63.4146341463415	58.695652173913	67.2131147540984	59.0909090909091
8	61.7647058823529	71.0526315789474	45.0980392156863	100	70	93.3333333333334	91.304347826087	100	82.1428571428571	34.6153846153846	79.0322580645161	50	73.6842105263158	83.0769230769231	58.2278481012658	51.4285714285714	74.2424242424242	65.1162790697674
9	63.235294117647	73.6842105263158	43.1372549019608	100	64.2857142857143	93.3333333333334	89.5833333333333	90.3225806451613	84.6153846153846	34.1772151898734	81.8181818181818	46.6666666666667	74.1379310344827	81.1594202898551	57.1428571428572	50.9433962264151	72	62.2222222222222
10	73.5294117647059	73.6842105263158	45.0980392156863	100	58.5714285714286	86.6666666666666	84.7457627118644	96.551724137931	95.8333333333333	35.5263157894737	83.6734693877551	40.625	78.7401574803149	83.5820895522388	61.3333333333333	52.4271844660194	68.9075630252101	55.3191489361702
