	P-Surprise	P-Sadness	P-None	P-Fear	P-Disgust	P-Anger	R-Surprise	R-Sadness	R-None	R-Fear	R-Disgust	R-Anger	F1-Surprise	F1-Sadness	F1-None	F1-Fear	F1-Disgust	F1-Anger
1	73.5294117647059	73.6842105263158	62.7450980392157	96.2962962962963	71.4285714285714	93.3333333333334	90.9090909090909	100	71.1111111111111	45.6140350877193	74.6268656716418	82.3529411764706	81.3008130081301	84.8484848484849	66.6666666666667	61.9047619047619	72.992700729927	87.5
2	61.7647058823529	73.6842105263158	43.1372549019608	100	68.5714285714286	93.3333333333333	87.5	100	95.6521739130435	29.6703296703297	78.6885245901639	77.7777777777778	72.4137931034483	84.8484848484849	59.4594594594594	45.7627118644068	73.2824427480916	84.8484848484848
3	63.235294117647	71.0526315789474	43.1372549019608	100	70	93.3333333333334	86	100	91.6666666666667	30.3370786516854	79.0322580645161	82.3529411764706	72.8813559322034	83.0769230769231	58.6666666666667	46.551724137931	74.2424242424242	87.5
4	63.2352941176471	71.0526315789474	45.0980392156863	100	68.5714285714286	93.3333333333334	84.3137254901961	100	95.8333333333333	30.3370786516854	78.6885245901639	82.3529411764706	72.2689075630252	83.0769230769231	61.3333333333333	46.551724137931	73.2824427480916	87.5
5	69.1176470588235	71.0526315789474	45.0980392156863	100	72.8571428571428	93.3333333333334	85.4545454545455	96.4285714285714	95.8333333333333	34.1772151898734	77.2727272727273	82.3529411764706	76.4227642276423	81.8181818181818	61.3333333333333	50.9433962264151	75	87.5
6	64.7058823529412	71.0526315789474	50.9803921568628	100	68.5714285714286	93.3333333333334	89.7959183673469	87.0967741935484	86.6666666666667	33.75	77.4193548387097	82.3529411764706	75.2136752136752	78.2608695652174	64.1975308641975	50.4672897196262	72.7272727272727	87.5
7	66.1764705882353	73.6842105263158	43.1372549019608	100	68.5714285714286	93.3333333333334	90	96.551724137931	88	31.3953488372093	77.4193548387097	82.3529411764706	76.271186440678	83.5820895522388	57.8947368421053	47.787610619469	72.7272727272727	87.5
8	67.6470588235294	71.0526315789474	47.0588235294118	100	68.5714285714286	93.3333333333333	86.7924528301887	96.4285714285714	82.7586206896552	33.75	78.6885245901639	77.7777777777778	76.0330578512397	81.8181818181818	60	50.4672897196262	73.2824427480916	84.8484848484848
9	61.7647058823529	73.6842105263158	47.0588235294117	96.2962962962963	71.4285714285714	93.3333333333333	89.3617021276596	93.3333333333333	85.7142857142857	33.3333333333333	74.6268656716418	73.6842105263158	73.0434782608695	82.3529411764706	60.7594936708861	49.5238095238095	72.992700729927	82.3529411764706
10	66.1764705882353	71.0526315789474	45.0980392156863	100	71.4285714285714	93.3333333333333	84.9056603773585	93.1034482758621	88.4615384615385	33.3333333333333	80.6451612903226	77.7777777777778	74.3801652892562	80.5970149253732	59.7402597402597	50	75.7575757575758	84.8484848484848
